id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
959,잇츠빅 소시지핫도그 콘치즈,486kcal,30.00g,35.00g,19.00g,486 ,19,30,
960,비빔참치 삼각김밥,184kcal,4.00g,33.00g,4.00g,184 ,4,4,
961,콘치즈 바게트버거,389kcal,25.00g,30.00g,11.00g,389 ,11,25,
962,집밥은 씨유 미역국,26kcal,0.00g,6.00g,0.40g,26 ,0,0,
963,자이언트 더블 불고기 버거,440kcal,20.00g,46.00g,19.00g,440 ,19,20,
964,계란참치마요 김밥,488kcal,20.00g,61.00g,16.00g,488 ,16,20,
965,NEW 케이준치킨 샌드위치,459kcal,15.00g,66.00g,15.00g,459 ,15,15,
966,오늘의 도시락 돈까스&소시지,837kcal,37.00g,106.00g,20.00g,837 ,20,37,
967,경규옹의 돼지국밥,408kcal,3.10g,81.00g,14.00g,408 ,14,3,
968,오리지널 감자칩,260kcal,18.00g,23.00g,2.00g,260 ,2,18,
969,딥초코 마들렌,131kcal,7.00g,15.00g,2.00g,131 ,2,7,
970,서울식 한촌설렁탕,416kcal,8.00g,68.00g,18.00g,416 ,18,8,
971,트리플 고기정식,692kcal,20.00g,97.00g,31.00g,692 ,31,20,
972,유부밥바,272kcal,7.00g,44.00g,8.00g,272 ,8,7,
973,원조김밥,314kcal,3.80g,61.00g,9.00g,314 ,9,3,
974,크림치즈바질샌드위치,362kcal,18.00g,39.00g,11.00g,362 ,11,18,
975,너비아니 반반,441kcal,13.00g,69.00g,12.00g,441 ,12,13,
976,자이언트 핫도그,360kcal,14.00g,45.00g,13.00g,360 ,13,14,
977,햄에그치즈샌드,387kcal,15.00g,48.00g,15.00g,387 ,15,15,
978,쫀득한마카롱반반초코,338kcal,15.00g,45.00g,7.00g,338 ,7,15,
979,삼겹살 김밥,393kcal,13.00g,55.00g,14.00g,393 ,14,13,
980,통리챔참치마요밥바,281kcal,9.00g,41.00g,9.00g,281 ,9,9,
981,딸기바나나우유,240kcal,8.00g,36.00g,7.00g,240 ,7,8,
982,불고기계란덮밥,587kcal,15.00g,93.00g,20.00g,587 ,20,15,
983,햄쌈도시락,786kcal,30.00g,107.00g,22.00g,786 ,22,30,
984,치즈닭갈비 삼각김밥,150kcal,1.60g,27.00g,7.00g,150 ,7,1,
985,카프레제 샌드위치,295kcal,11.00g,39.00g,10.00g,295 ,10,11,
986,아보카도 크림치즈롤,435kcal,15.00g,63.00g,12.00g,435 ,12,15,
987,포항시금치 계란 유부초밥,531kcal,19.00g,73.00g,17.00g,531 ,17,19,
988,햄토마토모닝머핀,294kcal,14.00g,31.00g,11.00g,294 ,11,14,
989,속편한 우엉유부 김밥,315kcal,3.90g,61.00g,9.00g,315 ,9,3,
990,크랩 참치 김밥,345kcal,13.00g,47.00g,10.00g,345 ,10,13,
991,마늘맛 콘스낵,792kcal,36.00g,109.00g,8.00g,792 ,8,36,
992,고추참치 삼각김밥,175kcal,1.70g,36.00g,4.00g,175 ,4,1,
993,3xl 소고기 전주비빔,277kcal,5.00g,52.00g,6.00g,277 ,6,5,
994,숯불고기김밥,340kcal,8.00g,53.00g,14.00g,340 ,14,8,
995,쑥떡쑥떡,130kcal,4.80g,20.00g,2.00g,130 ,2,4,
996,도토리 아이스모나카,181kcal,4.10g,33.00g,3.00g,181 ,3,4,
997,치즈에그 샌드위치,559kcal,31.00g,52.00g,18.00g,559 ,18,31,
998,식감두배 불고기전주,250kcal,6.00g,41.00g,8.00g,250 ,8,6,
999,리얼 플레인 스콘,465kcal,23.00g,60.00g,5.00g,465 ,5,23,
1000,우삼겹 삼각김밥,190kcal,6.00g,28.00g,6.00g,190 ,6,6,
