id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
128,바로먹는 꿀고구마,220kcal,0.20g,53.20g,1.40g,220 ,220 ,220 ,
129,통밀 햄,329kcal,13.00g,33.00g,20.00g,329 ,329 ,329 ,
130,에그마요 포켓샌드,299kcal,15.00g,32.00g,9.00g,299 ,299 ,299 ,
131,스모크닭가슴살샐러드,85kcal,0.50g,12.00g,7.00g,85 ,85 ,85 ,
132,Big 헤이즐넛향,100kcal,0.00g,24.00g,0.00g,100 ,100 ,100 ,
133,제육쌈밥 삼각김밥,207kcal,4.50g,32.00g,10.00g,207 ,207 ,207 ,
134,스크램블&소시지샌드위치,518kcal,34.00g,43.00g,10.00g,518 ,518 ,518 ,
135,치킨 도시락,704kcal,30.00g,85.00g,25.00g,704 ,704 ,704 ,
136,베이컨 치즈 에그 샌드위치,380kcal,20.00g,36.00g,14.00g,380 ,380 ,380 ,
137,더큰 참치마요네즈 삼각김밥,360kcal,20.00g,36.00g,9.00g,360 ,360 ,360 ,
138,전주비빔김밥,345kcal,9.00g,53.00g,11.00g,345 ,345 ,345 ,
139,스팸참치김치볶음밥,192kcal,8.00g,25.00g,5.00g,192 ,192 ,192 ,
140,돈까스김밥,477kcal,17.00g,68.00g,13.00g,477 ,477 ,477 ,
141,사천왕 마라탕면 큰컵,440kcal,18.00g,65.00g,4.00g,440 ,440 ,440 ,
142,곱창 철판 볶음밥,561kcal,17.00g,92.00g,10.00g,561 ,561 ,561 ,
143,리챔참치마요,395kcal,13.00g,55.00g,15.00g,395 ,395 ,395 ,
144,데리야끼 닭꼬치로 야식어때?,214kcal,10.00g,17.00g,14.00g,214 ,214 ,214 ,
145,대게딱지장,185kcal,4.10g,33.00g,4.00g,185 ,185 ,185 ,
146,복숭아아이스티,120kcal,0.00g,30.00g,0.00g,120 ,120 ,120 ,
147,생연어초밥,199kcal,7.00g,22.00g,12.00g,199 ,199 ,199 ,
148,반숙에그 샌드위치,425kcal,21.00g,44.00g,15.00g,425 ,425 ,425 ,
149,우유,130kcal,8.00g,9.00g,6.00g,130 ,130 ,130 ,
150,11가지 찬많은 도시락,850kcal,34.00g,107.00g,29.00g,850 ,850 ,850 ,
151,초코마들렌,149kcal,9.00g,15.00g,2.00g,149 ,149 ,149 ,
152,로제치킨리조또,308kcal,13.00g,37.00g,11.00g,308 ,308 ,308 ,
153,잠발라야 스모크 닭다리,310kcal,13.00g,13.00g,35.00g,310 ,310 ,310 ,
154,치즈닭갈비덮밥,581kcal,15.00g,90.00g,22.00g,581 ,581 ,581 ,
155,LA면,455kcal,13.00g,75.00g,9.00g,455 ,455 ,455 ,
156,바바리안 크림치즈,375kcal,13.00g,55.00g,8.00g,375 ,375 ,375 ,
157,코코넛 쿠키,190kcal,11.00g,21.00g,2.00g,190 ,190 ,190 ,
158,돼지불백 도시락,555kcal,9.00g,95.00g,22.00g,555 ,555 ,555 ,
159,리코타닭가슴살에그샐러드,90kcal,4.49g,7.59g,4.88g,90 ,90 ,90 ,
160,스팸컵밥,355kcal,11.00g,56.00g,8.00g,355 ,355 ,355 ,
161,콘치즈그라탕,425kcal,28.00g,34.00g,9.00g,425 ,425 ,425 ,
162,통밀칠리치킨 샌드위치,402kcal,14.00g,47.00g,22.00g,402 ,402 ,402 ,
163,에그포테이토 샌드위치,426kcal,22.00g,48.00g,9.00g,426 ,426 ,426 ,
164,스팸김치볶음 김밥,447kcal,19.00g,55.00g,14.00g,447 ,447 ,447 ,
165,치즈계란김밥,386kcal,10.00g,60.00g,14.00g,386 ,386 ,386 ,
166,쫄깃쫄깃 훈제 닭다리,175kcal,8.00g,2.00g,24.00g,175 ,175 ,175 ,
167,고기듬뿍 김치제육,557kcal,13.00g,86.00g,24.00g,557 ,557 ,557 ,
168,알래스카연어샌드위치,338kcal,14.00g,42.00g,10.00g,338 ,338 ,338 ,
169,김치참치 삼각김밥,164kcal,1.80g,33.00g,4.00g,164 ,164 ,164 ,
170,제로 자몽블랙티,0kcal,0.00g,1.40g,0.00g,0 ,0 ,0 ,
171,아이돌인기샌드위치,526kcal,26.00g,62.00g,10.00g,526 ,526 ,526 ,
172,김치볶음밥김밥,340kcal,8.00g,56.00g,11.00g,340 ,340 ,340 ,
173,충무김밥,390kcal,6.00g,69.00g,15.00g,390 ,390 ,390 ,
174,호밀햄치즈샌드위치,394kcal,11.00g,62.00g,12.00g,394 ,394 ,394 ,
175,계란듬뿍 샌드위치,330kcal,22.00g,24.00g,9.00g,330 ,330 ,330 ,
176,강된장비빔김밥,354kcal,10.00g,57.00g,9.00g,354 ,354 ,354 ,
177,돔베고기 도시락,715kcal,15.00g,109.00g,35.00g,715 ,715 ,715 ,
178,빅사이즈 불고기버거,646kcal,36.00g,61.00g,20.00g,646 ,646 ,646 ,
179,삼겹살김밥,338kcal,10.00g,51.00g,11.00g,338 ,338 ,338 ,
180,돈불고기 비빔밥,539kcal,11.00g,93.00g,17.00g,539 ,539 ,539 ,
181,통밀 햄&감자,365kcal,13.00g,49.00g,13.00g,365 ,365 ,365 ,
182,수란덮밥,445kcal,7.00g,80.00g,16.00g,445 ,445 ,445 ,
183,구운버터 알감자,140kcal,6.00g,19.00g,3.00g,140 ,140 ,140 ,
184,참치김치삼각김밥,180kcal,5.00g,30.00g,4.00g,180 ,180 ,180 ,
185,고기듬뿍 김치제육볶음,557kcal,13.00g,86.00g,24.00g,557 ,557 ,557 ,
186,속이꽉찬 계란샌드위치,394kcal,22.00g,36.00g,13.00g,394 ,394 ,394 ,
187,입안가득 참치비빔,224kcal,8.00g,30.00g,8.00g,224 ,224 ,224 ,
188,3xl 리치참치마요,319kcal,7.00g,53.00g,11.00g,319 ,319 ,319 ,
189,2XL 로제닭갈비 삼각김밥,247kcal,3.00g,47.00g,8.00g,247 ,247 ,247 ,
190,3단참치샐러드 샌드위치,459kcal,27.00g,43.00g,11.00g,459 ,459 ,459 ,
191,아이돌 인기 샌드위치 (209g),526kcal,26.00g,62.00g,10.00g,526 ,526 ,526 ,
192,틈새오모리김치찌개라면,490kcal,20.00g,69.00g,9.00g,490 ,490 ,490 ,
193,초코블랑,217kcal,9.00g,31.00g,3.00g,217 ,217 ,217 ,
194,허쉬 쿠앤크 모찌롤,446kcal,26.00g,47.00g,6.00g,446 ,446 ,446 ,
195,명가 소갈비 도시락,760kcal,23.00g,115.00g,25.00g,760 ,760 ,760 ,
196,등심돈까스 도시락,802kcal,22.00g,116.00g,36.00g,802 ,802 ,802 ,
197,가득찬 전주비빔,268kcal,8.00g,43.00g,6.00g,268 ,268 ,268 ,
198,데리버거,335kcal,10.00g,47.00g,14.00g,335 ,335 ,335 ,
199,떡갈비김밥,389kcal,14.00g,54.00g,11.00g,389 ,389 ,389 ,
200,2XL 참치마요,292kcal,8.00g,45.00g,10.00g,292 ,292 ,292 ,
201,햄에그치즈샌드위치,394kcal,22.00g,34.00g,15.00g,394 ,394 ,394 ,
202,크랩가득 유부초밥,459kcal,15.00g,67.00g,14.00g,459 ,459 ,459 ,
203,참치왕 유부초밥,498kcal,18.00g,66.00g,18.00g,498 ,498 ,498 ,
204,대왕돈까스,1375kcal,67.00g,157.00g,36.00g,1375 ,1375 ,1375 ,
205,고추장삼겹살덮밥,812kcal,28.00g,119.00g,21.00g,812 ,812 ,812 ,
206,매콤짭짤 소고기고추장,170kcal,1.80g,34.00g,4.00g,170 ,170 ,170 ,
207,명란계란찜,62kcal,3.50g,2.00g,6.00g,62 ,62 ,62 ,
208,빵빵 크림빵,500kcal,19.00g,72.00g,8.00g,500 ,500 ,500 ,
209,장충동 부드러운 순살 족발,381kcal,21.00g,0.00g,48.00g,381 ,381 ,381 ,
210,닭갈비 삼각김밥,201kcal,5.00g,33.00g,6.00g,201 ,201 ,201 ,
211,위대한 치즈소세지,295kcal,25.50g,2.20g,14.30g,295 ,295 ,295 ,
212,김혜자 6찬 도시락,576kcal,23.00g,74.00g,19.00g,576 ,576 ,576 ,
213,에그모닝 샌드위치,553kcal,41.00g,33.00g,13.00g,553 ,553 ,553 ,
214,스팸참치김밥,412kcal,20.00g,49.00g,9.00g,412 ,412 ,412 ,
215,볶음 짬뽕면,365kcal,2.00g,73.00g,14.00g,365 ,365 ,365 ,
